Seasonal Variation (Data Source),Simulation Run Number,T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Season,Frequency,RIS Gain (dB),RIS Path Loss (dB)
FallM,3,172.7,576,-117.4,5.3,227,0.2,299.9,-5,147.0,16.8,0,24.25,17.177,129.823
FallM,3,172.7,578,-128.4,4.2,236,-0.1,306.8,-1,157.3,23.2,0,24.25,19.2272,138.0728
FallM,3,172.7,581,-130.3,0.1,256,-0.6,298.2,6,160.2,9.3,0,24.25,43.3645,116.8355
FallM,3,172.7,583,-138.2,3.0,237,0.9,290.3,7,157.6,12.9,0,24.25,35.0119,122.5881
FallM,3,172.7,586,-141.4,0.7,252,-7.3,293.4,11,169.0,8.6,0,24.25,43.9992,125.0008
FallM,3,172.7,588,-126.9,1.1,224,-1.7,298.8,0,150.1,28.4,0,24.25,15.3918,134.7082
FallM,3,172.7,591,-132.8,1.0,252,2.1,293.7,-2,162.4,7.5,0,24.25,43.885,118.515
FallM,3,172.7,594,-140.2,2.2,262,-4.1,285.3,-3,170.1,6.8,0,24.25,54.0494,116.0506
FallM,3,172.7,596,-124.4,2.8,236,0.5,295.4,5,154.1,16.2,0,24.25,29.9808,124.1192
FallM,3,172.7,599,-129.6,5.3,221,-4.3,297.6,1,153.7,32.7,0,24.25,13.6658,140.0342
FallM,3,172.7,602,-141.8,5.7,234,-0.6,295.9,22,171.1,15.5,0,24.25,27.8088,143.2912
FallM,3,172.7,632,-142.6,4.8,223,-3.4,281.5,2,169.8,61.2,0,24.25,31.2243,138.5757
FallM,3,172.7,634,-151.8,0.1,220,2.7,293.9,-7,157.8,22.9,0,24.25,16.5855,141.2145
FallM,3,172.7,637,-145.5,5.8,231,-3.0,301.8,-4,151.0,26.5,0,24.25,19.6924,131.3076
FallM,3,172.7,641,-142.7,3.6,227,-4.1,291.7,9,164.7,50.7,0,24.25,25.6309,139.0691
FallM,3,172.7,644,-126.7,5.6,227,-2.8,297.8,-1,149.3,30.1,0,24.25,19.7475,129.5525
FallM,3,172.7,647,-139.9,5.6,231,0.5,286.0,1,165.8,34.2,0,24.25,34.4829,131.3171
FallM,3,172.7,651,-146.8,4.8,228,-2.2,307.8,-1,156.7,29.5,0,24.25,10.6632,146.0368
FallM,3,172.7,654,-143.0,1.1,236,-1.1,291.8,5,155.8,15.0,0,24.25,33.8863,121.9137
FallM,3,172.7,658,-145.5,2.9,225,4.9,294.0,2,159.1,35.7,0,24.25,21.6393,137.4607
